Kod	Nazwa
04S22/02 B	Sklejka liściasta suchotrwała 4x1525x1525 BB/C
04S22/02 E	Sklejka liściasta wodoodporna 4x1525x1525 BB/C
04S22/04 E	Sklejka liściasta wodoodporna 4x2440x1220
04S22/05 E	Sklejka liściasta wodoodporna 4x1250x2500 BB/C
04S22/06 E	Sklejka liściasta wodoodporna 4x2500x1250 BB/C
04S22/11 E	Sklejka liściasta wodoodporna 4x1525x3050 BB/C
04S22/12 E	Sklejka liściasta wodoodporna 4x1500x3000 BB/C
05S01/06	Sklejka dębowa wodoodporna 5x2500x1250 B/B
05S02/02	Sklejka liściasta suchotrwała 5x1525x1525 B/BB
05S02/06	Sklejka sosnowa 5x2500x1250 B/BB
05S04/02	Sklejka liściasta suchotrwała 5x1525x1525 BB/BB
05S04/02 B	Sklejka liściasta suchotrwała 5x1525x1525 BB/BB
05S04/11 E	Sklejka liściasta wodoodporna 5x1525x3050 BB/BB
05S05/02	Sklejka liściasta suchotrwała 5x1525x1525 BB/CP
05S05/02 B	Sklejka liściasta suchotrwała 5x1525x1525 BB/CP
05S05/02 E	Sklejka liściasta wodoodporna 5x1525x1525 BB/CP
05S05/04 E	Sklejka liściasta wodoodporn 5x2440x1220 BB/CP
05S05/04 E BX	Sklejka iglasta wodoodporna 5x2440x1220
05S05/05 E	Sklejka liściasta wodoodporn 5x1250x2500 BB/CP
05S05/06 E	Sklejka liściasta wodoodporna 5x2500x1250 BB/CP
05S05/06 E BX	Sklejka iglasta wodoodporna 5x2500x1250 BX
05S05/09 E	Sklejka liściasta wodoodporna 5x1525x2500 BB/CP
05S05/12 E	Sklejka liściasta wodoodporna 5x1500x3000 BB/CP
05S05/28 E	Sklejka liściasta wodoodporna 5x1525x3000 BB/CP
05S06/05 E	Sklejka liściasta wodoodporna 5x1250x2500 BB/WG
05S06/06 E	Sklejka liściasta wodoodporna 5x2500x1250 BB/WG
05S06/60 E	sklejka liściasta suchotrwała 5x1250x2750 BB/WG
05S07/02	Sklejka liściasta suchotrwała 5x1525x1525 CP/CP
05S07/03 E	Sklejka liściasta wodoodporna 5x1220x2440 CP/CP
05S07/05 E	Sklejka liściasta wodoodporna 5x1250x2500 CP/CP
05S07/11 E	Sklejka liściasta wodoodporna 5x1525x3050 CP/CP
05S09/05 E	Sklejka liściasta wodoodporna 5x1250x2500 WG/WG
05S12/05 F/F grey/d.br.	Sklejka liściasta foliowana 5x1250x2500 F/F grey/dark brown
05S12/09 F/F grey/d.br.	Sklejka liściasta foliowana 5x1525x2500 F/F grey/dark brown
05S12/12 F/F grey/d.br	Sklejka liściasta foliowana 5x1500x3000 F/F grey/dark brown
05S13/05 F/F grey/d.br.	Sklejka liściasta foliowana 5x1250x2500 F/F grey/dark brown
05S13/09 F/F	Sklejka liściasta foliowana 5x1525x2500 F/F
05S18/02	Sklejka liściasta suchotrwała 5x1525x1525 CP/C
05S18/02 B	Sklejka liściasta suchotrwała 5x1525x1525 CP/C
05S18/05 E	Sklejka liściasta wodoodporna 5x1250x2500 CP/C
05S18/11 E	Sklejka liściasta wodoodporna 5x1525x3050 CP/C
05S18/12 E	Sklejka liściasta wodoodporna 5x1500x3000 CP/C
05S22/02	Sklejka liściasta suchotrwała 5x1525x1525 BB/C
05S22/05 E	Sklejka liściasta wodoodporna 5x1250x2500 BB/C
05S22/11 E	Sklejka liściasta wodoodporna 5x1525x3050 BB/C
05S22/12 E	Sklejka liściasta wodoodporna 5x1500x3000 BB/C
065S/ALU E	sklejka liściasta WD, gr. 6,5mm
065S01/06	sklejka szkutnicza dębowa WD, gr. 6,5 mm
065S02/04 E	Sklejka liściasta wodoodporna 6,5x2440x1220 B/BB
065S02/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 B/BB
065S04/03 E	Sklejka liściasta wodoodporna 6,5x1220x2440 BB/BB
065S04/04 E	Sklejka liściasta wodoodporna 6,5x1525x3050 CP/CP
065S04/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 BB/BB
065S04/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 BB/BB
065S04/09 E	Sklejka liściasta wodoodporna 6,5x1525x2500 BB/BB
065S04/11 E	Sklejka liściasta wodoodporna 6,5x1525x3050 BB/BB
065S04/11 MR	Sklejka liściasta suchotrwała 6,5x1525x3050 BB/BB
065S04/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 BB/BB
065S04/47 E	Sklejka liściasta wodoodporna 6,5x1250x2440 BB/BB
065S04/73 E	Sklejka liściasta wodoodporna 6,5x2400x1200 BB/BB
065S04/75 E	Sklejka liściasta wodoodporna 6,5x2150x4000 BB/BB
065S04/WAS	sklejka liściasta WD , gr. 6,5 mm 2060x2380
065S04/WAS II	Birken sperrholz BB/BB , gr. 6,5 mm 1787x3311 Cod no. 128790
065S04/WAS III	Birken sperrholz WD , gr. 6,5 mm 2110x3630 Cod no. 100507
065S04/WAS IV	sklejka liściasta WD, gr. 6,5 mm 1800x3720 mm
065S04/WAS V	Birken sperrholz WD , gr. 6,5 mm 1787x3311 Cod no. 215952
065S05/03	Sklejka liściasta wodoodporna 6,5x1220x2440 BB/CP
065S05/04	Sklejka liściasta wodoodporna 6,5x2440x1220 BB/CP
065S05/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 BB/CP
065S05/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 BB/CP
065S05/06 E IGL	Sklejka iglasta wodoodporna 6,5x2500x1250 BB/CP
065S05/06 sosna	sklejka iglasta, suchotrwała 6,5x2500x1250 BB/CP
065S05/07 E	Sklejka liściasta wodoodporna 6,5x1500x2500 CP/CP
065S05/11 E	Sklejka liściasta wodoodporna 6,5x1525x3050 BB/CP
065S05/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 BB/CP
065S06/03 E	Sklejka liściasta wodoodporna 6,5x1220x2440 BB/WG
065S06/04 E	Sklejka liściasta wodoodporna 6,5x2440x1220 BB/WG
065S06/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 BB/WG
065S06/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 BB/WG
065S06/07 E	Sklejka liściasta wodoodporna 6,5x1500x2500 BB/WG
065S06/09 E	Sklejka liściasta wodoodporna 6,5x1525x2500 BB/WG
065S06/107 E	Sklejka liściasta wodoodporna 6,5x1850x3660 BB/WG
065S06/11 E	Sklejka liściasta wodoodporna 6,5x1525x3050 BB/WG
065S06/23 E	Sklejka liściasta wodoodporna 6,5x1500x2700 BB/WG
065S06/27 E	Sklejka liściasta wodoodporna 6,5x2150x3850 BB/WG
065S06/57 E	sklejka liściasta WD, gr. 6,5 mm 2150x3440
065S06/75 E	Sklejka liściasta wodoodporna 6,5x2150x4000 BB/WG
065S06/85 E	Sklejka liściasta wodoodporna 6,5x1900x3850 BB/WG
065S06/93 E	Sklejka liściasta wodoodporna 6,5x1900x4000 BB/WG
065S06/97 E	Sklejka liściasta wodoodporna 6,5x2000x4000 BB/WG
065S06/cal	sklejka liściasta WD, gr.6.5x946x2035mm
065S06/cal II	sklejka liściasta WD, gr.6.5x974x2035mm
065S06/cal III	sklejka liściasta WD, gr.6.5x2035x946mm
065S06/cal IV	sklejka liściasta WD, gr.6.5x980x2060mm
065S06/cal V	sklejka liściasta WD, gr.6.5x940x2051mm
065S06/cal VI	sklejka liściasta WD, gr.6.5x710x1670 mm
065S06/cal VII	sklejka liściasta WD, gr.6.5x968x2051mm
065S06/WAS 2110x3620	Birken sperrholz WD , gr. 6,5 mm 2110x3620 Cod no.100507
