Kod	Nazwa
15S12/ALT29 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x679x2979mm
15S12/ALT29 PF/PF	sklejka liściasta WD, gr. 15 mm, POLIFORM 15x229x2979mm
15S12/ALT3 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x496x2979mm
15S12/ALT3 PF/PF	sklejka liściasta WD, gr. 15 mm, POLIFORM 15x879x1479mm
15S12/ALT30 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x879x2979mm
15S12/ALT30 PF/PF	sklejka liściasta WD, gr. 15 mm, POLIFORM 15x279x2979mm
15S12/ALT31 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x227x1479mm
15S12/ALT31 PF/PF	sklejka liściasta WD, gr. 15 mm, POLIFORM 15x379x2979mm
15S12/ALT32 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x629x1479mm
15S12/ALT32 PF/PF	sklejka liściasta WD, gr. 15 mm, POLIFORM 15x529x2979mm
15S12/ALT33 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x749x2979mm
15S12/ALT33 PF/PF	sklejka liściasta WD, gr. 15 mm, POLIFORM 15x679x2979mm
15S12/ALT34 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x239x2679mm
15S12/ALT34 PF/PF	sklejka liściasta WD, gr. 15 mm, POLIFORM 15x1479x239mm
15S12/ALT35 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x729x2979mm
15S12/ALT35 PF/PF	sklejka liściasta WD, gr. 15 mm, POLIFORM 15x239x2679mm
15S12/ALT36 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x229x2679mm
15S12/ALT36 PF/PF	sklejka liściasta WD, gr. 15 mm, POLIFORM 15x239x2979
15S12/ALT37 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x1179x2679mm
15S12/ALT38 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x679x1479mm
15S12/ALT39 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x346x2679mm
15S12/ALT4 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x879x2679mm
15S12/ALT4 PF/PF	sklejka liściasta WD, gr. 15 mm, POLIFORM 15x429x2679
15S12/ALT40 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x1429x2679mm
15S12/ALT41 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x227x2679mm
15S12/ALT42 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x529x2979mm
15S12/ALT43 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x239x2979mm
15S12/ALT44 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x229x879mm
15S12/ALT45 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x479x879mm
15S12/ALT46 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x479x1179mm
15S12/ALT47 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x579x1179mm
15S12/ALT48 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x229x1479mm
15S12/ALT49 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x279x2979mm
15S12/ALT5 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x429x2979mm
15S12/ALT5 PF/PF	sklejka liściasta WD, gr. 15 mm, POLIFORM 15x479x2679mm
15S12/ALT50 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x679x1179mm
15S12/ALT51 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x239x879mm
15S12/ALT52 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x239x1179mm
15S12/ALT53 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x429x879mm
15S12/ALT54 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x529x1179mm
15S12/ALT55 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x1429x2979mm
15S12/ALT56 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x346x2979mm
15S12/ALT57 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x679x579mm
15S12/ALT58 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x579x879mm
15S12/ALT59 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x729x879mm
15S12/ALT6 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x679x2679mm
15S12/ALT6 PF/PF	sklejka liściasta WD, gr. 15 mm, POLIFORM 15x579x2679mm
15S12/ALT60 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x279x1179mm
15S12/ALT61 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x429x1179mm
15S12/ALT62 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x227x2979mm
15S12/ALT63 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x279x879mm
15S12/ALT7 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x429x2679mm
15S12/ALT7 PF/PF	sklejka liściasta WD, gr. 15 mm, POLIFORM 15x679x2679mm
15S12/ALT8 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x479x2679mm
15S12/ALT8 PF/PF	sklejka liściasta WD, gr. 15 mm, POLIFORM 15x729x2679mm
15S12/ALT9 F/F	sklejka liściasta WD, gr. 15 mm, foliowana 15x579x2679mm
15S12/ALT9 PF/PF	sklejka liściasta WD, gr. 15 mm, POLIFORM 15x879x2679mm
15S12/FIB1	Sklejka poliform 15x780x2030mm
15S12/FIB2	Sklejka poliform 15x780x2570mm
15S12/PS 1500x3385	sklejka liściasta WD, gr. 15 mm, foliowana 220g/m2 1500x3385 mm
15S12/PS 1830x3100	sklejka liściasta, WD gr.15 1830x3100
15S12/PS 185x3385	sklejka liściasta WD, gr. 15 mm, foliowana 220g/m2 185x3385 mm
15S12/PS 210x3385	sklejka liściasta WD, gr. 15 mm, foliowana 220g/m2 210x3385 mm
15S12/PS 235x3385	sklejka liściasta WD, gr. 15 mm, foliowana 220g/m2 235x3385 mm
15S12/PS 285x3385	sklejka liściasta WD, gr. 15 mm, foliowana 220g/m2 285x3385 mm
15S12/PS 385x3385	sklejka liściasta WD, gr. 15 mm, foliowana 220g/m2 385x3385 mm
15S12/PS 435x3385	sklejka liściasta WD, gr. 15 mm, foliowana 220g/m2 435x3385 mm
15S12/PS 485x3385	sklejka liściasta WD, gr. 15 mm, foliowana 220g/m2 485x3385 mm
15S12/PS 535x3385	sklejka liściasta WD, gr. 15 mm, foliowana 220g/m2 535x3385 mm
15S12/PS 585x3385	sklejka liściasta WD, gr. 15 mm, foliowana 220g/m2 585x3385 mm
15S12/PS 685x3385	sklejka liściasta WD, gr. 15 mm, foliowana 220g/m2 685x3385 mm
15S12/PS 735x3385	sklejka liściasta WD, gr. 15 mm, foliowana 220g/m2 735x3385 mm
15S12/PS 735x885	sklejka liściasta WD, gr. 15 mm, foliowana 220g/m2 735x885 mm
15S12/PS 885x3385	sklejka liściasta WD, gr. 15 mm, foliowana 220g/m2 885x3385 mm
15S12ALT51 f/f	sklejka liściasta WD, gr. 15 mm, foliowana 15x239x879mm
15S12P 1830x3100	sklejka liściasta F/F gr.15 mm
15S13/03 F/F II	Sklejka liściasta foliowana 15x1220x2440 F/F II
15S13/03 M/M c.less MR	Sklejka liściasta suchotrwała 15x1220x2440 M/M Transparentna
15S13/05 E PAINT	Sklejka liściasta foliowana 15x1250x2500 F/F PAINT
15S13/05 F/F	Sklejka liściasta foliowana 15x1250x2500 F/F
15S13/05 F/F Black	Sklejka liściasta foliowana 15x1250x2500 F/F czarna
15S13/05 F/F blue	Sklejka liściasta foliowana 15x1250x2500 F/F niebieska
15S13/05 F/F grey	Sklejka liściasta foliowana 15x1250x2500 F/F grey
15S13/05 F/F LOGO	Sklejka liściasta foliowana 15x1250x2500 F/F LOGO
15S13/05 M/M	Sklejka liściasta foliowana 15x1250x2500 M/M
15S13/05 M/M c.less EXT	Sklejka liściasta foliowna 15x1250x2500 c.less
15S13/05 M/M c.less MR	Sklejka liściasta suchotrwała 15x1250x2500 M/M Transparentna
15S13/05 PF/PF	Sklejka liściasta poliform 15x1250x2500 grey/red
15S13/07 F/F honey	Sklejka liściasta suchotrwała 15x1500x2500 F/F Honey
15S13/07 F/F logo	Sklejka liściasta foliowana 15x1525x2500 F/F
15S13/07 Mel/Mel	Sklejka liściasta suchotrwała 15x1500x2500 M/M Biała
15S13/09 F/F	Sklejka liściasta foliowana 15x1525x2500 F/F
15S13/09 M/M c.less MR	Sklejka liściasta suchotrwała 15x1525x2500 M/M Transparentna
15S13/09 Mel/Mel	Sklejka liściasta suchotrwała 15x1525x2500 M/M Biała
15S13/09 PPL white	Sklejka liściasta foliowana PPL 15x1525x2500 white
15S13/104 F/F	Sklejka liściasta foliowana 15x1850x3660 F/F
15S13/104 F/F grey	Sklejka liściasta foliowana 15x1850x3660 F/F grey
15S13/11 F/F	Sklejka liściasta foliowana 15x1525x3050 F/F
15S13/11 F/F black	Sklejka liściasta foliowana 15x1525x3050 F/F black
15S13/11 F/F grey	Sklejka liściasta foliowana 15x1525x3050 F/F grey
15S13/11 F/F Honey	Sklejka liściasta suchotrwała 15x1525x3050 F/F Honey
15S13/11 F/F logo	Sklejka liściasta foliowana 15x1525x3050 F/F logo
15S13/11 F/F s.grey	Sklejka liściasta foliowana 15x1525x3050 F/F silver grey
15S13/11 M/M	Sklejka liściasta foliowana 15x1525x3050 M/M
15S13/11 PP/PPL white	Sklejka liściasta foliowana 15x1525x3050 PPL biała
15S13/12 F/F	Sklejka liściasta foliowana 15x1500x3000 F/F
15S13/12 F/F black	Sklejka liściasta foliowana 15x1500x3000 F/F black
15S13/12 F/F green	Sklejka liściasta foliowana 15x1500x3000 F/F green
15S13/12 F/F l.br	Sklejka liściasta foliowana 15x1500x3000 F/F jasny brąz
15S13/12 F/F logo	Sklejka liściasta foliowana 15x1500x3000 F/F logo
15S13/12 M/M	Sklejka liściasta foliowana 15x1500x3000 M/M
15S13/12 M/M Colorless	Sklejka liściasta suchotrwała 15x1500x3000 M/M Transparentna
15S13/12 PPL white	Sklejka liściasta foliowana 15x1500x3000 PPL white
15S13/22 M/M c.less MR	Sklejka liściasta suchotrwała 15x1525x2440 M/M Transparentna
15S13/23 F/F	Sklejka liściasta foliowana 15x1500x2700 F/F
15S13/27 F/F	Sklejka liściasta foliowana 15x2150x3850 F/F
15S13/29 F/F	Sklejka liściasta foliowana 15x1250x3050 F/F
15S13/29 M/M c.less	Sklejka liściasta foliowana 15x1250x3050 F/F c.less
15S13/32 M/M	Sklejka liściasta foliowana 15x1200x3000 M/M
15S13/41 F/F	Sklejka liściasta foliowana 15x1200x2700 F/F
15S13/52 F/F	Sklejka liściasta foliowana 15x1500x2750 F/F
15S13/52 F/F II black 240	Sklejka liściasta foliowana 15x1500x2750 F/F 240g/m2 czarna
15S13/52 F/F II d.br. 220	Sklejka liściasta foliowana 15x1500x2750 F/F 220 g/m2
15S13/56 F/F	Sklejka liściasta foliowana 15x1525x2750 F/F
15S13/56 F/F logo	Sklejka liściasta foliowana 15x1525x2750 F/F Logo
15S13/56 PF/PF	Sklejka liściasta poliform 15x1525x2750 blue
15S13/56 PPL white	Sklejka liściasta foliowana 15x1525x2750 PPL biała
15S13/60 F/F	Sklejka liściasta foliowana 15x1250x2750 F/F
15S13/60 F/F logo	Sklejka liściasta foliowana 15x1250x2750 F/F logo
15S13/60 PF/FP grey	Sklejka liściasta foliowna POLIFORM 15x1250x2750 grey
15S13/62 F/F	Sklejka liściasta foliowana 15x2150x3050 F/F
15S13/62 F/F logo	Sklejka liściasta foliowana 15x2150x3050 F/F logo
15S13/66 F/F	Sklejka liściasta foliowana 15x1500x3300 F/F
15S13/75 E F/F s.grey 220	Sklejka liściasta foliowana 15x2150x4000 F/F
15S13/76 F/F	Sklejka liściasta foliowana 15x1525x3660 F/F
15S13/76 F/F grey	Sklejka liściasta foliowana 15x1525x3660 F/F grey
15S13/90 F/F	Sklejka liściasta foliowana 15x1525x3340 F/F
15S13/94 F/F	Sklejka liściasta foliowana 15x1250x3660 F/F
15S13/98 F/F	Sklejka liściasta foliowana 15x1250x3340 F/F
15S14/03 F/W	Sklejka liściasta antypoślizgowa 15x1220x2440 F/W
15S14/03 F/W silent	antislip plywood, 15mm silent
15S14/03 F/WH+	Sklejka liściasta antypoślizgowa 15x1220x2440 F/W heksa plus
15S14/03 F/WH+ black	Sklejka liściasta antypoślizgowa 15x1220x2440 F/W heksa plus czarna
15S14/03 F/WH+ grey/d.br.	Sklejka liściasta antypoślizgowa 15x1220x2440 F/W heksa plus szara/ciemny brąz
15S14/03 W/F szara	Sklejka liściasta antypoślizgowa 15x1220x2440 F/W szara
15S14/05 F/W	Sklejka liściasta antypoślizgowa 15x1250x2500 F/W
15S14/05 F/W 220	Sklejka liściasta antypoślizgowa 15x1250x2500 F/W 220g/m2
15S14/05 F/W black	Sklejka liściasta antypoślizgowa 15x1250x2500 F/W czarna
15S14/05 F/W blue	Sklejka liściasta antypoślizgowa 15x1250x2500 F/W niebieska
15S14/05 F/W EUK	Sklejka antypoślizgowa eukaliptus 15x1250x2500 F/W
15S14/05 F/W FOOT	Sklejka liściasta antypoślizgowa 15x1250x2500 F/W SILENT
15S14/05 F/W green	sklejka liściasta WD, gr. 15 mm, antypoślizgowa, zielona
15S14/05 F/W grey	Sklejka liściasta antypoślizgowa 15x1250x2500 F/W szara
15S14/05 F/W grey/d.br	Sklejka liściasta antypoślizgowa 15x1250x2500 F/W szara/ciemny brąz
15S14/05 F/W Logo	Sklejka liściasta antypoślizgowa 15x1250x2500 F/W logo -/ATP
15S14/05 F/W red	Sklejka liściasta antypoślizgowa 15x1250x2500 F/W czerwona
15S14/05 F/W yellow	sklejka liściasta WD, gr. 15 mm antypoślizgowa żółta 1250x2500
15S14/05 F/WH	Sklejka liściasta antypoślizgowa 15x1250x2500 F/W heksa
15S14/05 F/WH+	Sklejka liściasta antypoślizgowa 15x1250x2500 F/W heksa plus
15S14/05 F/WH+ black	Sklejka liściasta antypoślizgowa 15x1250x2500 F/W heksa plus black
15S14/05 F/WH+ black/d.br.	Sklejka liściasta antypoślizgowa 15x1250x2500 F/W heksa plus czarna/ciemny brąz
15S14/05 F/WH+ grey	Sklejka liściasta antypoślizgowa 15x1250x2500 F/W heksa plus szara
15S14/05 F/WH+ grey/d.br	Sklejka liściasta antypoślizgowa 15x1250x2500 F/W heksa plus szara/ciemny brąz
15S14/07 F/W	Sklejka liściasta antypoślizgowa 15x1500x2500 F/W
15S14/07 F/WH+ black	Sklejka liściasta antypoślizgowa 15x1500x2500 F/W heksa plus black
15S14/09 F/W	Sklejka liściasta antypoślizgowa 15x1525x2500 F/W
15S14/09 F/W logo	Sklejka liściasta antypoślizgowa 15x1525x2500 F/W logo
15S14/11 F/W	Sklejka liściasta antypoślizgowa 15x1525x3050 F/W
15S14/11 F/W H+ grey	Sklejka liściasta antypoślizgowa 15x1525x3050 F/W heksa plus szara
15S14/11 F/WH+	Sklejka liściasta antypoślizgowa 15x1525x3050 Heksa Plus
15S14/111 F/W	Sklejka liściasta antypoślizgowa 15x2350x4150 F/W
15S14/12 F/W	Sklejka liściasta antypoślizgowa 15x1500x3000 F/W
15S14/12 F/W EUK	Sklejka antypoślizgowa eukaliptus 15x1500x3000 F/W
15S14/12 F/W grey	Sklejka liściasta antypoślizgowa 15x1500x3000 F/W szara
15S14/12 F/WH+ black	Sklejka liściasta antypoślizgowa 15x1500x3000 Heksa Plus czarna FSC Mix Credit SGSCH-COC-009690
15S14/14 F/WH+	Sklejka liściasta antypoślizgowa 15x1220x3050 F/W HEKSA+
15S14/14 F/WH+ grey	Sklejka liściasta antypoślizgowa 15x1220x3050 H+/PRE heksa plus grey
15S14/21 F/W	Sklejka liściasta antypoślizgowa 15x1200x2500
15S14/26 F/W	Sklejka liściasta antypoślizgowa 15x2150x1250 F/W
15S14/26 F/WH+	Sklejka liściasta antypoślizgowa 15x2150x1250 F/W heksa plus
15S14/27 F/W	Sklejka liściasta antypoślizgowa 15x2150x3850 F/W
15S14/27 F/W grey	Sklejka liściasta antypoślizgowa 15x2150x3850 F/W szara
15S14/27 F/W TRANS	Sklejka liściasta antypoślizgowa TRANS 15x2150x3850 F/W
15S14/27 F/WH+ grey	Sklejka liściasta antypoślizgowa 15x2150x3850 F/W heksa plus szara
15S14/28 F/W	Sklejka liściasta antypoślizgowa 15x1525x3000 F/W
15S14/28 F/WH+ black/d.br.	Sklejka liściasta antypoślizgowa 15x1525x3000 F/W heksa plus czarna/ciemny brąz
15S14/28 M/W	Sklejka liściasta antypoślizgowa 15x1525x3000 M/W
15S14/57 F/W	Sklejka liściasta antypoślizgowa 15x2150x3340 F/W
15S14/57 WH+/F grey/d.brown	Sklejka liściasta antypoślizgowa 15x2150x3340 Heksa + szara/ciemny brąz
15S14/60 F/W	Sklejka liściasta antypoślizgowa 15x1250x2750 F/W
15S14/62 F/W	Sklejka liściasta antypoślizgowa 15x2150x3050 F/W
15S14/62 F/W grey/d.br.	Sklejka liściasta antypoślizgowa 15x2150x3050 F/W szara/ciemny brąz
15S14/69 F/W	Sklejka liściasta antypoślizgowa 15x2150x1525 F/W
15S14/75 F/W	Sklejka liściasta antypoślizgowa 15x2150x4000 F/W
15S14/76 F/W	Sklejka liściasta antypoślizgowa 15x1525x3660 F/W
15S14/77 F/W	Sklejka liściasta antypoślizgowa 15x2290x4000 F/W
15S14/90 F/W	Sklejka liściasta antypoślizgowa 15x1525x3340 F/W
15S14/ATH F/W H+ bl	Sklejka liściasta WD, gr. 15mm antypoślizgowa Heksa czarna 995x1995 mm
15S14/FPN1 F/W	sklejka liściasta WD, gr. 15 mm, antypoślizgowa 15x1640x2640mm
15S14/FPN2 F/W	sklejka liściasta WD, gr. 15 mm, antypoślizgowa 15x1840x3030mm
15S14/FPN3 F/W	sklejka liściasta WD, gr. 15 mm, antypoślizgowa 15x1650x3335mm
15S15/03 F/W	Sklejka liściasta antypoślizgowa 15x1220x2440 F/W
15S15/05 F/W	Sklejka liściasta antypoślizgowa 15x1250x2500 F/W
15S15/05 F/W black	Sklejka liściasta antypoślizgowa 15x1250x2500 F/W czarna
15S15/05 F/WH+	Sklejka liściasta antypoślizgowa 15x1250x2500 F/W heksa plus
15S15/07 F/W	Sklejka liściasta antypoślizgowa 15x1500x2500 F/W
15S15/07 F/W black	Sklejka liściasta antypoślizgowa 15x1500x2500 F/W czarna
15S15/07 F/WH+	Sklejka liściasta antypoślizgowa 15x1500x2500 F/W heksa plus brązowa
15S15/07 F/WH+ black	Sklejka liściasta antypoślizgowa 15x1500x2500 F/W heksa plus black
15S15/09 F/W	Sklejka liściasta antypoślizgowa 15x1525x2500 F/W
15S15/09 F/W black	Sklejka liściasta antypoślizgowa 15x1525x2500 F/W czarna
15S15/100 F/W	Sklejka liściasta antypoślizgowa 15x2150x3660 F/W
15S15/104 F/W	Sklejka liściasta antypoślizgowa 15x1850x3660 F/W
15S15/107 F/W	Sklejka liściasta antypoślizgowa 15x1850x3660 F/W
15S15/109 F/W	Sklejka liściasta antypoślizgowa 15x1850x3050mm
15S15/11 F/W	Sklejka liściasta antypoślizgowa 15x1525x3050 F/W
15S15/113 F/W	Sklejka liściasta foliowana 15x1830x3660 F/W
15S15/12 F/W	Sklejka liściasta antypoślizgowa 15x1500x3000 F/W
15S15/13 F/W	Sklejka liściasta antypoślizgowa 15x1240x1240 F/W
15S15/21 F/W	Sklejka liściasta antypoślizgowa 15x1200x2500
15S15/26 F/W	Sklejka liściasta antypoślizgowa 15x2150x1250 F/W
15S15/26 F/W Heksa plus	Sklejka liściasta antypoślizgowa 15x2150x1250 F/W heksa plus
15S15/27 F/W	Sklejka liściasta antypoślizgowa 15x2150x3850 F/W
15S15/27 F/W grey/d.br.	Sklejka liściasta antypoślizgowa 15x2150x3850 F/W szara/ciemny brąz
15S15/27 F/WH+	Sklejka liściasta antypoślizgowa 15x2150x3850 F/W heksa plus
15S15/28 F/W	Sklejka liściasta antypoślizgowa 15x1525x3000 F/W
15S15/28 F/WH+ black/d.br.	Sklejka liściasta antypoślizgowa 15x1525x3000 Heksa Plus czarna/brązowa
15S15/56 F/W	Sklejka liściasta antypoślizgowa 15x1525x2750 F/W
15S15/57 F/W	Sklejka liściasta antypoślizgowa 15x2150x3340 F/W
15S15/57 F/W grey/d.br.	Sklejka liściasta antypoślizgowa 15x2150x3340 F/W Heksa Plus szara/ciemny brąz
15S15/57 F/WH+	Sklejka liściasta antypoślizgowa 15x2150x3340 F/W heksa plus
15S15/57 F/WH+ grey/d.br.	Sklejka liściasta antypoślizgowa 15x2150x3340 F/W heksa plus szara/ciemny brąz
15S15/62 F/W	Sklejka liściasta antypoślizgowa 15x2150x3050 F/W
15S15/62 F/WH+	Sklejka liściasta antypoślizgowa 15x2150x3050 F/W heksa plus
15S15/69 F/W	Sklejka liściasta antypoślizgowa 15x2150x1525 F/W
15S15/75 F/W	Sklejka liściasta antypoślizgowa 15x2150x4000 F/W
15S15/75 F/WH+	Sklejka liściasta antypoślizgowa 15x2150x4000 F/W heksa plus
15S15/76 F/W	Sklejka liściasta antypoślizgowa 15x1525x3660 F/W
15S15/77 F/W	Sklejka liściasta antypoślizgowa 15x2290x4000 F/W
15S15/77 F/WH+	Sklejka liściasta antypoślizgowa 15x2290x4000 F/W heksa plus
15S15/90 F/W	Sklejka liściasta antypoślizgowa 15x1525x3340 F/W
15S15/94 F/W	Sklejka liściasta antypoślizgowa 15x1250x3660 F/W
15S16/05 W/W	Sklejka liściasta antypoślizgowa 15x1250x2500 W/W
15S16/07 W/W	Sklejka liściasta antypoślizgowa 15x1500x2500 W/W
15S16/12 W/W	Sklejka liściasta antypoślizgowa 15x1500x3000 W/W
15S18/02	Sklejka liściasta suchotrwała 15x1525x1525 CP/C
15S18/02 B	Sklejka liściasta suchotrwała 15x1525x1525 CP/C
15S18/02 E	Sklejka liściasta wodoodporna 15x1525x1525 CP/C
15S18/03 E	Sklejka liściasta wodoodporna 15x1220x2440 CP/C
15S18/03 MR	Sklejka liściasta suchotrwała 15x1220x2440 CP/C
15S18/04 E	Sklejka liściasta wodoodporna 15x2440x1220 CP/C
15S18/04 MR	Sklejka liściasta suchotrwała 15x2440x1220 CP/C
15S18/05 E	Sklejka liściasta wodoodporna 15x1250x2500 CP/C
15S18/05 MR	Sklejka liściasta suchotrwała 15x1250x2500 CP/C
15S18/06 E	Sklejka liściasta wodoodporna 15x2500x1250 CP/C
15S18/07 E	Sklejka liściasta wodoodporna 15x1500x2500 CP/C
15S18/09 E	Sklejka liściasta wodoodporna 15x1525x2500 CP/C
15S18/09 MR	Sklejka liściasta suchotrwała 15x1525x2500 CP/C
15S18/102	Sklejka liściasta suchotrwała 15x1830x1250 CP/C, FSC 100% SGSCH-COC-009690
15S18/11	Sklejka liściasta brzozowa 15x1525x3050 CP/C
15S18/11 E	Sklejka liściasta wodoodporna 15x1525x3050 CP/C
15S18/11 MR	Sklejka liściasta suchotrwała 15x1525x3050 CP/C
15S18/12 E	Sklejka liściasta wodoodporna 15x1500x3000 CP/C
15S18/22 E	Sklejka liściasta wodoodporna 15x1525x2440 CP/C
15S18/28 E	Sklejka liściasta wodoodporna 15x1525x3000 CP/C
15S18/28 MR	Sklejka liściasta suchotrwała 15x1525x3000 CP/C
15S18/42 E	Sklejka liściasta wodoodporna 15x1500x1500 CP/C
15S20/03 F/BB	Sklejka liściasta foliowana 15x1220x2440 F/BB
15S20/27 F/BB	Sklejka liściasta foliowana 15x2150x3850 F/BB
15S20/62 F/BB	Sklejka liściasta foliowana 15x2150x3050 F/BB
15S21/05 F/WG	Sklejka liściasta foliowana 15x1250x2500 F/WG
15S21/127 F/WGE	Sklejka liściasta foliowana 15x1545x3080 F/WGE
15S21/27 F/WG	Sklejka liściasta foliowana 15x2150x3850 F/WG
15S21/67 F/WGE	Sklejka laminowana 15x1350x2700 F/WGE
15S22/02	Sklejka liściasta suchotrwała 15x1525x1525 BB/C
15S22/02 B	Sklejka liściasta suchotrwała 15x1525x1525 BB/C
15S22/02 E	Sklejka liściasta wodoodporna 15x1525x1525 BB/C
15S22/03 E	Sklejka liściasta wodoodporna 15x1220x2440 BB/C
15S22/03 MR	Sklejka liściasta suchotrwała 15x1220x2440 BB/C
15S22/04 E	Sklejka liściasta wodoodporna 15x2440x1220 BB/C
15S22/05 E	Sklejka liściasta wodoodporna 15x1250x2500 BB/C
15S22/05 MR	Sklejka liściasta suchotrwała 15x1250x2500 BB/C
15S22/06 E	Sklejka liściasta wodoodporna 15x2500x1250 BB/C
15S22/11	Sklejka liściasta brzozowa 15x1525x3050 BB/C
15S22/11 E	Sklejka liściasta wodoodporna 15x1525x3050 BB/C
15S22/12 E	Sklejka liściasta wodoodporna 15x1500x3000 BB/C
15S22/22 E	Sklejka liściasta wodoodporna 15x1525x2440 BB/C
15S24/05 W/WG	Sklejka liściasta antypoślizgowa 15x1250x2500 W/WG
15S24/62 WG/H+ grey	Sklejka liściasta antypoślizgowa 15x2150x3050mm F/W Heksa Plus szara/surowa
15S29/06 E IGL	sklejka iglasta, gr. 15 mm 2500x1250
15S31/03	Płyta OSB3 15x1220x2440
15S31/05	Płyta OSB3 15x1250x2500
15S31/05 P/W	Płyta budowlana OSB-3 15x2500x1250 P/W
15S31/72	Płyta OSB3 gr. 15x625x2500mm pióro-wpust
15S32/72	OSB3 gr. 15 mm, T-G
15S32/72P/W	Płyta budowlana OSB-3 2500x675 P/W
16S04/07 MR	Sklejka liściasta suchotrwała 16x1500x2500 BB/BB
16S04/09 MR	Sklejka liściasta suchotrwała 16x1525x2500 BB/BB
16S04/22 MR	Sklejka liściasta suchotrwała 16x1525x2440 BB/BB
16S04/42 MR	Sklejka liściasta suchotrwała 16x1500x1500 BB/BB
16S04/WAS 2110x3630	Birken sperrholz WD , gr. 16 mm 2110x3630 Cod no 223150
16S05/03	Sklejka liściasta wodoodporna 16x1220x2440 BB/CP
16S05/03 MR	Sklejka liściasta suchotrwała 16x1220x2440 BB/CP
16S06/09 E	Sklejka liściasta suchotrwała 16x1525x2500 BB/WG
16S06/09 MR	Sklejka liściasta suchotrwała 16x1525x2500 BB/WG
16S06/23 E	Sklejka liściasta wodoodporna 16x1500x2700 BB/WG
16S09/03 E	Sklejka liściasta wodoodporna 16x1220x2440 WG/WG
16S09/11 E	Sklejka liściasta wodoodporna 16x1525x3050
16S11/03 PQ	Sklejka liściasta WD, gr. 16mm
16S11/04 E S2S	Sklejka liściasta wodoodporna 16x2440x1220 S2S
16S11/04 PQ	Sklejka liściasta suchotrwała 16x2440x1220
16S11/07 MR	Sklejka liściasta suchotrwała 16x1500x2500
16S11/09 E S2S	Sklejka liściasta wodoodporna 16x1525x2500
16S11/09 MR	Sklejka liściasta suchotrwała 16x1525x2500
16S11/11 E	Sklejka liściasta wodoodporna 16x1525x3050
16S11/11 E S2S	Sklejka liściasta wodoodporna 16x1525x3050 S2S
16S11/11 PQ	Sklejka liściasta wodoodporna 16x1525x3050 S2S
16S11/12 E S2S	Sklejka liściasta wodoodporna 16x1500x3000 S2S
16S11/22 E S2S	Sklejka liściasta wodoodporna 16x1525x2440 S2S
16S11/22 S2S MR	Sklejka liściasta suchotrwała 16x1525x2440 S2S
16S11/69 PQ	Sklejka liściasta wodoodporna 16x2150x1525
16S12/03 F/WGE SILENT	Sklejka liściasta Silent 16x1220x2440 F/WGE
16S12/07 F/F RIGA SILENT	Sklejka liściasta foliowana 16x1500x2500 F/F RIGA SILENT
16S12/07 F/WGE SILENT	Sklejka liściasta WD, gr. 16mm, Silent F/WGE, 1500x2500
16S12/07 Mel/Mel	Sklejka liściasta suchotrwała 16x1500x2500 M/M Biała
